Ranking,Title,Type,Japanese,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members
5112,Kyoto Teramachi Sanjou no Holmes,TV,京都寺町三条のホームズ,"Jul 10, 2018 to Sep 25, 2018",12,23 min. per ep.,6.74,Novel,"DramaDrama,MysteryMystery,RomanceRomance,Slice of LifeSlice of Life",WorkplaceWorkplace,Discotek Media,"MediaNet,AT-X,Futabasha,Crunchyroll,Hakuhodo,A-Craft,Tohan Corporation,AQUA ARIS",PG-13 - Teens 13 or older,Finished Airing,Seven,"57,483"
5113,Love Live! School Idol Project: μ's →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,Special,ラブライブ School idol project！μ's→NEXT LoveLive！2014～ENDLESS PARADE～幕間ドラマ,23-Jul-14,3,8 min. per ep.,6.74,Other,ComedyComedy,Idols (Female)Idols (Female),add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"11,437"
5114,Mahou Shoujo-tai Arusu the Adventure,OVA,魔法少女隊アルス the Adventure,22-Nov-07,6,22 min. per ep.,6.74,Original,"AdventureAdventure,ComedyComedy,FantasyFantasy",IsekaiIsekai,Media Blasters,Tohokushinsha Film Corporation,PG-13 - Teens 13 or older,Finished Airing,Studio 4°C,"4,992"
5115,Midara na Ao-chan wa Benkyou ga Dekinai,TV,淫らな青ちゃんは勉強ができない,"Apr 6, 2019 to Jun 22, 2019",12,12 min. per ep.,6.74,Manga,"ComedyComedy,RomanceRomance,EcchiEcchi",None,Sentai Filmworks,"Mainichi Broadcasting System,Kodansha,DMM pictures",PG-13 - Teens 13 or older,Finished Airing,SILVER LINK.,"233,754"
5116,Mini Yuri,ONA,みにゆり,"Sep 25, 2019 to Oct 16, 2019",4,5 min. per ep.,6.74,Manga,"ComedyComedy,Girls LoveGirls Love","CGDCTCGDCT,Gag HumorGag Humor,SchoolSchool",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,W-Toon Studio,"9,307"
5117,Mobile Suit Victory Gundam,TV,機動戦士Vガンダム,"Apr 2, 1993 to Mar 25, 1994",51,24 min. per ep.,6.74,Original,"DramaDrama,Sci-FiSci-Fi","MechaMecha,MilitaryMilitary,SpaceSpace",Nozomi Entertainment,"TV Asahi,Sotsu,Apollon",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"24,112"
5118,Monster Farm: Legend e no Michi,TV,モンスターファーム～伝説[レジェンド]への道～,"Apr 1, 2000 to Sep 30, 2000",25,24 min. per ep.,6.74,Game,"ActionAction,AdventureAdventure,ComedyComedy,FantasyFantasy",IsekaiIsekai,ADV Films,"None found,add some",PG - Children,Finished Airing,TMS Entertainment,"15,673"
5119,Monster Strike The Movie: Hajimari no Basho e,Movie,モンスターストライク THE MOVIE はじまりの場所へ,10-Dec-16,1,1 hr. 44 min.,6.74,Game,"ActionAction,FantasyFantasy",Video GameVideo Game,add some,"Warner Bros. Japan,Ultra Super Pictures,XFLAG,XFLAG Pictures",G - All Ages,Finished Airing,LIDENFILMS,"4,261"
5120,Netoge no Yome wa Onnanoko ja Nai to Omotta?,TV,ネトゲの嫁は女の子じゃないと思った？,"Apr 7, 2016 to Jun 23, 2016",12,24 min. per ep.,6.74,Light novel,"ComedyComedy,RomanceRomance,EcchiEcchi","SchoolSchool,Video GameVideo Game",Funimation,"Sotsu,AT-X,Barnum Studio,DAX Production,ASCII Media Works,NBCUniversal Entertainment Japan,i0+,Medicos Entertainment,Radio Osaka",PG-13 - Teens 13 or older,Finished Airing,Project No.9,"473,939"
5121,Osomatsu-san Movie: Zensetsu Gekijou,Special,えいがのおそ松さん　前説劇場,6-Nov-19,6,2 min. per ep.,6.74,Manga,ComedyComedy,ParodyParody,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,add some,"1,978"
5122,Pokemon Movie 06: Nanayo no Negaiboshi Jirachi,Movie,ポケットモンスター・アドバンスジェネレーション  七夜の願い星 ジラーチ,19-Jul-03,1,1 hr. 21 min.,6.74,Game,"AdventureAdventure,ComedyComedy,DramaDrama,FantasyFantasy",None,4Kids Entertainment,"TV Tokyo,Shogakukan-Shueisha Productions,Studio Jack",PG - Children,Finished Airing,OLM,"88,892"
5123,Princess Principal: Crown Handler Movie 1 - Busy Easy Money,Special,プリンセス・プリンシパル Crown Handler BUSY EASY MONEY,28-Sep-21,1,6 min.,6.74,Original,"ComedyComedy,MysteryMystery",HistoricalHistorical,add some,"None found,add some",R - 17+ (violence & profanity),Finished Airing,Actas,"4,818"
5124,Seton Doubutsuki: Kuma no Ko Jacky,TV,シートン動物記　くまの子ジャッキー,"Jun 7, 1977 to Dec 16, 1977",26,24 min. per ep.,6.74,Unknown,"AdventureAdventure,DramaDrama",HistoricalHistorical,add some,"None found,add some",G - All Ages,Finished Airing,Nippon Animation,"2,013"
5125,Shaonu Qianxian: Renxing Xiao Juchang,ONA,少女前线 人形小剧场,"Jul 28, 2019 to Dec 30, 2019",24,3 min. per ep.,6.74,Game,"ComedyComedy,Sci-FiSci-Fi","AnthropomorphicAnthropomorphic,MilitaryMilitary",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,BigFireBird Animation,"5,643"
5126,Shin Maple Town Monogatari: Palm Town-hen,TV,新メイプルタウン物語 パームタウン編,"Jan 18, 1987 to Dec 27, 1987",44,24 min. per ep.,6.74,Original,"FantasyFantasy,Slice of LifeSlice of Life",None,add some,"None found,add some",G - All Ages,Finished Airing,Toei Animation,"1,586"
5127,Shinmai Maou no Testament Specials,Special,新妹魔王の契約者〈テスタメント〉,"Mar 27, 2015 to Aug 28, 2015",6,3 min. per ep.,6.74,Light novel,"ComedyComedy,FantasyFantasy,EcchiEcchi",MythologyMythology,Funimation,"None found,add some",R+ - Mild Nudity,Finished Airing,Production IMS,"41,765"
5128,Shisouhan,Music,思想犯,24-Jun-20,1,4 min.,6.74,Original,None,"MusicMusic,PsychologicalPsychological",add some,Universal Music Japan,PG-13 - Teens 13 or older,Finished Airing,add some,330
5129,Shokei Shoujo no Virgin Road,TV,処刑少女の生きる道〈バージンロード〉,"Apr 2, 2022 to Jun 18, 2022",12,23 min. per ep.,6.74,Light novel,"ActionAction,AdventureAdventure,FantasyFantasy",None,add some,"Warner Bros. Japan,Hakuhodo DY Music & Pictures,Egg Firm,SB Creative,Creek",R - 17+ (violence & profanity),Currently Airing,J.C.Staff,"97,253"
5130,Smile Precure!,TV,スマイルプリキュア,"Feb 5, 2012 to Jan 27, 2013",48,24 min. per ep.,6.74,Original,"ActionAction,FantasyFantasy",Mahou ShoujoMahou Shoujo,add some,Saban Brands,G - All Ages,Finished Airing,Toei Animation,"37,313"
5131,Soukou Kihei Votoms: Genei-hen,OVA,装甲騎兵ボトムズ 幻影篇,"Mar 26, 2010 to Oct 27, 2010",6,24 min. per ep.,6.74,Original,"ActionAction,DramaDrama,Sci-FiSci-Fi","MechaMecha,MilitaryMilitary",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"2,677"
5132,Stella no Mahou Specials,Special,ステラのまほう,"Feb 24, 2017 to Mar 24, 2017",2,13 min. per ep.,6.74,4-koma manga,"ComedyComedy,Slice of LifeSlice of Life","CGDCTCGDCT,SchoolSchool",add some,"Kadokawa Shoten,flying DOG,Houbunsha,Hakuhodo DY Media Partners",PG-13 - Teens 13 or older,Finished Airing,SILVER LINK.,"4,371"
5133,Super Seisyun Brothers,TV,Super Seisyun Brothers -超青春姉弟s-,"Sep 14, 2013 to Dec 14, 2013",14,4 min. per ep.,6.74,Web manga,"ComedyComedy,Slice of LifeSlice of Life",None,add some,AIC,PG-13 - Teens 13 or older,Finished Airing,AIC PLUS+,"31,049"
5134,Teekyuu 3,TV,てーきゅう ３期,"Oct 6, 2013 to Dec 22, 2013",12,2 min. per ep.,6.74,Manga,ComedyComedy,SchoolSchool,add some,"DAX Production,Earth Star Entertainment",PG-13 - Teens 13 or older,Finished Airing,MAPPA,"24,940"
5135,Tetsujin 28-gou (1980),TV,鉄人２８号 (1980),"Oct 3, 1980 to Sep 25, 1981",51,23 min. per ep.,6.74,Unknown,ActionAction,MechaMecha,Discotek Media,"Tokyo Movie Shinsha,Studio Jack",G - All Ages,Finished Airing,add some,"1,891"
5136,The☆Doraemons: The Mysterious Thief Dorapan The Mysterious Cartel,Movie,ザ☆ドラえもんズ 怪盗ドラパン謎の挑戦状！,8-Mar-97,1,31 min.,6.74,Unknown,"ComedyComedy,FantasyFantasy,Sci-FiSci-Fi",None,add some,"None found,add some",PG - Children,Finished Airing,Shin-Ei Animation,"1,933"
5137,To Heart 2 Adnext,OVA,ToHeart2 adnext,"Sep 23, 2010 to Dec 22, 2010",2,28 min. per ep.,6.74,Visual novel,"ComedyComedy,RomanceRomance",HaremHarem,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Chaos Project,"4,568"
5138,Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,ONA,コンが教えて差し上げます！まるわかり東京レイヴンズ,"Oct 23, 2013 to Jan 30, 2014",3,5 min. per ep.,6.74,Unknown,SupernaturalSupernatural,None,Funimation,"Geneon Universal Entertainment,Tokyo MX",PG-13 - Teens 13 or older,Finished Airing,add some,"12,538"
5139,Uchuu Senkan Yamato 2199: Tsuioku no Koukai,Special,宇宙戦艦ヤマト2199 追憶の航海,11-Oct-14,1,2 hr. 10 min.,6.74,Original,"ActionAction,DramaDrama,Sci-FiSci-Fi","Adult CastAdult Cast,MilitaryMilitary,SpaceSpace",add some,"Production I.G,Bandai Visual,OLM,Lantis,Shochiku,Bandai,Tohokushinsha Film Corporation,Bandai Namco Games,Voyager Entertainment",PG-13 - Teens 13 or older,Finished Airing,Xebec,"2,322"
5140,Ushinawareta Mirai wo Motomete,TV,失われた未来を求めて,"Oct 4, 2014 to Dec 20, 2014",12,23 min. per ep.,6.74,Visual novel,"DramaDrama,RomanceRomance,Sci-FiSci-Fi","SchoolSchool,Time TravelTime Travel",Funimation,"Starchild Records,GANSIS",PG-13 - Teens 13 or older,Finished Airing,feel.,"86,821"
5141,Utawarerumono: Tusukuru-koujo no Karei Naru Hibi,OVA,うたわれるもの トゥスクル皇女の華麗なる日々,26-Apr-18,1,13 min.,6.74,Visual novel,"ComedyComedy,FantasyFantasy",None,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,White Fox,"7,811"
5142,Viewtiful Joe,TV,ビューティフル ジョー,"Oct 2, 2004 to Sep 24, 2005",51,20 min. per ep.,6.74,Game,"ActionAction,ComedyComedy,Sci-FiSci-Fi",None,Geneon Entertainment USA,"TV Tokyo,MediaNet,Capcom",PG-13 - Teens 13 or older,Finished Airing,Group TAC,"10,799"
5143,Yama no Susume: Kabe tte Kowakunai no?,Special,ヤマノススメ 壁って怖くないの？,24-May-13,1,5 min.,6.74,Manga,"ComedyComedy,Slice of LifeSlice of Life","CGDCTCGDCT,IyashikeiIyashikei",add some,Earth Star Entertainment,PG-13 - Teens 13 or older,Finished Airing,8bit,"19,330"
5144,Zhen Dao Ge,ONA,枕刀歌,"Feb 5, 2021 to Apr 16, 2021",12,17 min. per ep.,6.74,Original,"ActionAction,AdventureAdventure",Martial ArtsMartial Arts,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,add some,897
5145,Makai Senki Disgaea,TV,魔界戦記ディスガイア,"Apr 5, 2006 to Jun 21, 2006",12,24 min. per ep.,6.73,Game,"ActionAction,ComedyComedy,FantasyFantasy",MythologyMythology,Funimation,Nippon Ichi Software,PG-13 - Teens 13 or older,Finished Airing,OLM,"41,779"
5146,Mao Yao de Huo Han,ONA,猫妖的诱惑,"Dec 21, 2018 to Jun 13, 2019",20,17 min. per ep.,6.73,Web manga,"FantasyFantasy,RomanceRomance",None,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Tencent Animation & Comics,674
5147,Mayonaka no Occult Koumuin,TV,真夜中のオカルト公務員,"Apr 8, 2019 to Jun 24, 2019",12,23 min. per ep.,6.73,Manga,"FantasyFantasy,MysteryMystery,SupernaturalSupernatural","MythologyMythology,WorkplaceWorkplace",Funimation,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,LIDENFILMS,"58,974"
5148,Meiken Jolie,TV,名犬ジョリィ,"Apr 7, 1981 to Jun 22, 1982",52,22 min. per ep.,6.73,Novel,AdventureAdventure,"HistoricalHistorical,PetsPets",add some,"NHK,Toho",G - All Ages,Finished Airing,Visual 80,"2,862"
5149,Mirai Keisatsu Urashiman,TV,未来警察ウラシマン,"Jan 9, 1983 to Dec 24, 1983",50,23 min. per ep.,6.73,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi",DetectiveDetective,Sentai Filmworks,Fuji TV,PG-13 - Teens 13 or older,Finished Airing,Tatsunoko Production,"2,144"
5150,Namiuchigiwa no Muromi-san: Pangea Chou Tairiku no Muromi-san,OVA,波打際のむろみさん パンゲア超大陸のむろみさん,16-Aug-13,1,27 min.,6.73,Manga,"ComedyComedy,FantasyFantasy,Slice of LifeSlice of Life",None,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Tatsunoko Production,"8,236"
5151,Needless+: Saint Lily Gakuen no Himitsu,Special,Needless+ -聖リリィ学園の秘密-,"Nov 27, 2009 to Oct 22, 2010",12,2 min. per ep.,6.73,Manga,"ComedyComedy,EcchiEcchi",SchoolSchool,Sentai Filmworks,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Madhouse,"15,404"
5152,Nobunaga no Shinobi: Nobunaga to Minarai Shinobi,Special,信長の忍び 第0話『信長と見習い忍び』,25-Mar-16,1,5 min.,6.73,4-koma manga,ComedyComedy,HistoricalHistorical,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,TMS Entertainment,"4,581"
5153,number24,TV,number24 ナンバー・トゥーフォー,"Jan 8, 2020 to Apr 15, 2020",12,23 min. per ep.,6.73,Original,SportsSports,"SchoolSchool,Team SportsTeam Sports",add some,"Movic,Magic Capsule,Tokyo MX,Mime Corporation,it's",PG-13 - Teens 13 or older,Finished Airing,PRA,"52,501"
5154,"Onegai☆Teacher: Marie, Ai no Gekijou",Special,"おねがい☆ティーチャー まりえ, 愛の劇場",25-Oct-02,1,3 min.,6.73,Original,"ComedyComedy,DramaDrama,RomanceRomance,Sci-FiSci-Fi",None,add some,Bandai Visual,PG-13 - Teens 13 or older,Finished Airing,add some,"11,431"
5155,Oshiete Mahou no Pendulum: Rilu Rilu Fairilu,TV,おしえて魔法のペンデュラム～リルリルフェアリル～,"Jul 7, 2018 to Jan 5, 2019",26,12 min. per ep.,6.73,Original,"FantasyFantasy,Slice of LifeSlice of Life",None,add some,Sotsu,G - All Ages,Finished Airing,Studio Deen,977
5156,Osu!! Karate-bu,OVA,押忍!!空手部,"Oct 21, 1990 to Jul 25, 1992",4,50 min. per ep.,6.73,Manga,None,"Martial ArtsMartial Arts,SchoolSchool",add some,Nihon Eizo,R - 17+ (violence & profanity),Finished Airing,J.C.Staff,"1,850"
5157,Pokemon XY: Sora no Hahen,Movie,ポケットモンスターXY 宇宙の破片（そらのはへん）,12-Jul-14,1,25 min.,6.73,Unknown,"AdventureAdventure,FantasyFantasy",None,add some,TV Tokyo,PG - Children,Finished Airing,OLM,"7,304"
5158,RPG Densetsu Hepoi,TV,RPG伝説ヘポイ,"Oct 6, 1990 to Sep 28, 1991",50,25 min. per ep.,6.73,Unknown,"AdventureAdventure,FantasyFantasy",None,add some,Nihon Ad Systems,None,Finished Airing,Gallop,649
5159,Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,Special,世界征服～謀略のズヴィズダー～ 新・ズヴィズダー大作戦,15-Oct-14,1,24 min.,6.73,Original,"ActionAction,ComedyComedy,FantasyFantasy",None,Aniplex of America,"Aniplex,flying DOG",PG-13 - Teens 13 or older,Finished Airing,A-1 Pictures,"19,114"
5160,Shinmai Maou no Testament,TV,新妹魔王の契約者〈テスタメント〉,"Jan 8, 2015 to Mar 26, 2015",12,23 min. per ep.,6.73,Light novel,"ActionAction,FantasyFantasy,RomanceRomance,EcchiEcchi","HaremHarem,MythologyMythology",Funimation,"Kadokawa Shoten,AT-X,Nippon Columbia,Kadokawa Pictures Japan,KlockWorx,Mobcast",R+ - Mild Nudity,Finished Airing,Production IMS,"602,918"
5161,SK∞: Crazy Rock Jam,Special,SK∞ エスケーエイト #9.5 PART『クレイジーロックJAM』,14-Mar-21,1,23 min.,6.73,Original,SportsSports,None,add some,"Aniplex,Movic,ABC Animation",PG-13 - Teens 13 or older,Finished Airing,Bones,"30,288"
5162,Soukou Kihei Votoms: Big Battle,OVA,装甲騎兵ボトムズ　ビッグバトル,5-Jul-86,1,1 hr.,6.73,Original,"ActionAction,DramaDrama,Sci-FiSci-Fi","MechaMecha,MilitaryMilitary",Maiden Japan,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"3,229"
5163,Tailenders,Movie,テイルエンダーズ,16-Oct-09,1,27 min.,6.73,Original,"ActionAction,AdventureAdventure,Sci-FiSci-Fi",RacingRacing,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Picograph,"18,463"
5164,Tayutama: Kiss on My Deity,TV,タユタマ -Kiss on my Deity-,"Apr 6, 2009 to Jun 22, 2009",12,23 min. per ep.,6.73,Visual novel,"RomanceRomance,SupernaturalSupernatural",HaremHarem,Sentai Filmworks,"Media Factory,Delfi Sound",PG-13 - Teens 13 or older,Finished Airing,SILVER LINK.,"66,705"
5165,Ushinawareta Mirai wo Motomete: Ushinawareta Natsuyasumi wo Motomete,Special,失われた未来を求めて　第十三話「失われた夏休みを求めて」,Aug-15,1,28 min.,6.73,Visual novel,RomanceRomance,Time TravelTime Travel,Funimation,Starchild Records,R+ - Mild Nudity,Finished Airing,feel.,"8,739"
5166,3x3 Eyes,OVA,3×3EYES,"Jul 25, 1991 to Mar 19, 1992",4,30 min. per ep.,6.73,Manga,"ActionAction,FantasyFantasy,HorrorHorror,RomanceRomance","GoreGore,MythologyMythology",Geneon Entertainment USA,"Bandai Visual,Kodansha",R - 17+ (violence & profanity),Finished Airing,Toei Animation,"25,520"
5167,Azuki-chan,TV,あずきちゃん,"Apr 4, 1995 to Mar 17, 1998",117,24 min. per ep.,6.73,Manga,"ComedyComedy,RomanceRomance,Slice of LifeSlice of Life",None,add some,"None found,add some",G - All Ages,Finished Airing,Madhouse,"2,699"
5168,Candy Candy: Candy no Natsu Yasumi,Movie,キャンディ・キャンディ キャンディの夏休み,22-Jul-78,1,18 min.,6.73,Unknown,"DramaDrama,Slice of LifeSlice of Life",None,add some,"None found,add some",G - All Ages,Finished Airing,Toei Animation,"2,384"
5169,Cardfight!! Vanguard: Legion Mate-hen,TV,カードファイト!! ヴァンガード レギオンメイト編,"Mar 9, 2014 to Oct 19, 2014",33,24 min. per ep.,6.73,Original,"ActionAction,AdventureAdventure","MythologyMythology,Strategy GameStrategy Game",add some,"Dentsu,Sotsu,Bushiroad",PG-13 - Teens 13 or older,Finished Airing,TMS Entertainment,"14,477"
5170,Code:Realize - Sousei no Himegimi - Set a Thief to Catch a Thief,OVA,Code:Realize ~創世の姫君~,17-May-18,1,24 min.,6.73,Visual novel,"FantasyFantasy,RomanceRomance","HistoricalHistorical,Reverse HaremReverse Harem",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,M.S.C,"7,420"
5171,D.C.: Da Capo,TV,D.C.～ダ・カーポ～,"Jul 5, 2003 to Dec 27, 2003",26,24 min. per ep.,6.73,Visual novel,"DramaDrama,RomanceRomance",HaremHarem,add some,"Lantis,King Records",PG-13 - Teens 13 or older,Finished Airing,feel.,"72,623"
5172,Ginga Patrol PJ,TV,銀河パトロールPJ,"Oct 9, 1982 to 1983",26,25 min. per ep.,6.73,Unknown,"DramaDrama,Sci-FiSci-Fi","MilitaryMilitary,SpaceSpace",add some,Fuji TV,None,Finished Airing,Eiken,"1,007"
5173,Gisoku no Moses,Music,義足のMoses,15-Sep-13,1,2 min.,6.73,Music,SupernaturalSupernatural,MusicMusic,add some,"None found,add some",G - All Ages,Finished Airing,add some,432
5174,Harukanaru Toki no Naka de 3: Kurenai no Tsuki,Special,遙かなる時空の中で3 紅の月,28-Dec-07,1,1 hr.,6.73,Visual novel,"ActionAction,FantasyFantasy","HistoricalHistorical,IsekaiIsekai,MilitaryMilitary,Time TravelTime Travel",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Yumeta Company,"3,392"
5175,Haunted Junction,TV,HAUNTED じゃんくしょん,"Apr 2, 1997 to Jun 25, 1997",12,24 min. per ep.,6.73,Manga,"ComedyComedy,SupernaturalSupernatural",SchoolSchool,Bandai Entertainment,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Studio Deen,"4,117"
5176,Heisei Inu Monogatari Bow,TV,平成イヌ物語バウ,"Oct 14, 1993 to Sep 22, 1994",40,25 min. per ep.,6.73,Original,"AdventureAdventure,ComedyComedy",None,add some,Daiichikosho,G - All Ages,Finished Airing,Nippon Animation,977
5177,Hibike! Euphonium 2 Specials,Special,響け！ユーフォニアム2,"Dec 21, 2016 to Jun 21, 2017",7,2 min. per ep.,6.73,Original,ComedyComedy,"MusicMusic,Performing ArtsPerforming Arts,SchoolSchool",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Kyoto Animation,"19,252"
5178,Highlander: The Search for Vengeance,Movie,ハイランダー,14-Feb-07,1,1 hr. 26 min.,6.73,Unknown,"ActionAction,HorrorHorror,Sci-FiSci-Fi",None,Anchor Bay Films,Imagi,R - 17+ (violence & profanity),Finished Airing,Madhouse,"17,039"
5179,Hologram Circus,Music,HOLOGRAM CIRCUS,29-Dec-20,1,4 min.,6.73,Original,None,MusicMusic,add some,"None found,add some",G - All Ages,Finished Airing,add some,362
5180,Hoshi no Oujisama Petit Prince,TV,星の王子さま　プチ・プランス,"Jul 4, 1978 to Mar 27, 1979",35,24 min. per ep.,6.73,Novel,AdventureAdventure,None,Discotek Media,TV Asahi,G - All Ages,Finished Airing,Knack Productions,"1,787"
5181,Hyakka Ryouran: Samurai Bride,TV,百花繚乱 サムライブライド,"Apr 5, 2013 to Jun 21, 2013",12,24 min. per ep.,6.73,Light novel,"ActionAction,ComedyComedy,EcchiEcchi","HaremHarem,SamuraiSamurai,SchoolSchool",Sentai Filmworks,"Genco,Lantis,Hobby Japan,Gigno Systems",R+ - Mild Nudity,Finished Airing,Arms,"92,400"
5182,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,TV,異世界魔王と召喚少女の奴隷魔術Ω,"Apr 9, 2021 to Jun 11, 2021",10,24 min. per ep.,6.73,Light novel,"ComedyComedy,FantasyFantasy,EcchiEcchi","HaremHarem,IsekaiIsekai",Funimation,"Kodansha,Half H.P Studio,KlockWorx,81 Produce,Avex Pictures,Crunchyroll,GREE",PG-13 - Teens 13 or older,Finished Airing,Tezuka Productions,"323,830"
5183,Koihime†Musou,TV,恋姫†無双,"Jul 9, 2008 to Sep 24, 2008",12,25 min. per ep.,6.73,Visual novel,"ActionAction,AdventureAdventure,FantasyFantasy,EcchiEcchi","HistoricalHistorical,Martial ArtsMartial Arts",Sentai Filmworks,"None found,add some",R+ - Mild Nudity,Finished Airing,Doga Kobo,"45,391"
5184,Kono Minikuku mo Utsukushii Sekai,TV,この醜くも美しい世界,"Apr 2, 2004 to Jun 18, 2004",12,24 min. per ep.,6.73,Original,"ComedyComedy,DramaDrama,RomanceRomance,Sci-FiSci-Fi,EcchiEcchi",None,ADV Films,"Geneon Universal Entertainment,TBS,Rondo Robe,Movic",R+ - Mild Nudity,Finished Airing,Gainax,"57,635"
5185,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man - Tachikoma na Hibi,Special,攻殻機動隊 Stand Alone Complex - The Laughing Man タチコマな日々,23-Sep-05,1,2 min.,6.73,Unknown,"ComedyComedy,Sci-FiSci-Fi",MechaMecha,Bandai Entertainment,"None found,add some",PG - Children,Finished Airing,Production I.G,"6,060"
5186,Machine-Doll wa Kizutsukanai Specials,Special,機巧少女は傷つかない,"Dec 25, 2013 to May 28, 2014",6,5 min. per ep.,6.73,Light novel,"ActionAction,FantasyFantasy,EcchiEcchi",SchoolSchool,Funimation,"Genco,Movic,AT-X",R+ - Mild Nudity,Finished Airing,Lerche,"34,799"
5187,Akame ga Kill! Recap,Special,『アカメが斬る！』第一話～第八話ダイジェスト映像,31-Aug-14,1,42 min.,6.72,Manga,"ActionAction,FantasyFantasy","GoreGore,Super PowerSuper Power",add some,TOHO animation,R - 17+ (violence & profanity),Finished Airing,White Fox,"35,911"
5188,Arad Senki: Slap Up Party,TV,アラド戦記 ～スラップアップパーティー～,"Apr 4, 2009 to Sep 26, 2009",26,25 min. per ep.,6.72,Game,"ActionAction,AdventureAdventure,ComedyComedy,FantasyFantasy",None,add some,"Studio Mausu,Sotsu Music Publishing",PG-13 - Teens 13 or older,Finished Airing,Gonzo,"15,789"
5189,Asu no Yoichi!,TV,明日のよいち！,"Jan 9, 2009 to Mar 27, 2009",12,24 min. per ep.,6.72,Manga,"ComedyComedy,RomanceRomance,EcchiEcchi","HaremHarem,Martial ArtsMartial Arts",Sentai Filmworks,"Lantis,TBS,Movic",PG-13 - Teens 13 or older,Finished Airing,AIC,"194,116"
5190,B-Project: Zecchou*Emotion,TV,B-PROJECT～絶頂＊エモーション～,"Jan 12, 2019 to Mar 30, 2019",12,24 min. per ep.,6.72,Mixed media,None,MusicMusic,add some,"AT-X,Dwango,MAGES.,Asahi Broadcasting,ABC Animation,Tochigi TV",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"13,460"
5191,Bakutou Sengen Daigunder,TV,爆闘宣言ダイガンダー,"Apr 5, 2002 to Dec 27, 2002",39,21 min. per ep.,6.72,Original,"AdventureAdventure,Sci-FiSci-Fi",MechaMecha,add some,"TV Tokyo,Victor Entertainment",PG - Children,Finished Airing,Nippon Animation,"2,834"
5192,Black Fox,Movie,BLACKFOX,5-Oct-19,1,1 hr. 30 min.,6.72,Original,ActionAction,None,Crunchyroll,Infinite,PG-13 - Teens 13 or older,Finished Airing,Studio 3Hz,"74,428"
5193,Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi,OVA,僕は友達が少ない 闇鍋は美少女が残念な臭い,22-Sep-11,1,11 min.,6.72,Light novel,"ComedyComedy,RomanceRomance",SchoolSchool,add some,"Bushiroad,Good Smile Company",PG-13 - Teens 13 or older,Finished Airing,AIC Build,"116,985"
5194,Build Divide: Code White,TV,ビルディバイド -#FFFFFF(コードホワイト)-,"Apr 3, 2022 to Jun 26, 2022",12,23 min. per ep.,6.72,Mixed media,FantasyFantasy,Strategy GameStrategy Game,Aniplex of America,Aniplex,PG-13 - Teens 13 or older,Currently Airing,LIDENFILMS,"13,154"
5195,Cardfight!! Vanguard (2018),TV,カードファイト!! ヴァンガード (2018),"May 5, 2018 to May 4, 2019",52,23 min. per ep.,6.72,Original,ActionAction,Strategy GameStrategy Game,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,OLM,"10,648"
5196,C³: Rinkan Gakkou Confusion!,Special,-シーキューブ- 林間学校こんふゅーじょん!,25-Apr-12,1,29 min.,6.72,Light novel,"ActionAction,ComedyComedy,SupernaturalSupernatural,EcchiEcchi",SchoolSchool,Funimation,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,SILVER LINK.,"27,077"
5197,Cocolors,Movie,COCOLORS（コカラス）,5-May-17,1,45 min.,6.72,Original,Sci-FiSci-Fi,None,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Kamikaze Douga,"6,943"
